CSA,CBSA,MDIV,STCOU,NAME,LSAD,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022
148,14460,14454,25023,"Plymouth County, MA",County or equivalent,530820,530154,532919,533069,-666,2765,150
148,14460,14454,25025,"Suffolk County, MA",County or equivalent,797941,793271,771765,766381,-4670,-21506,-5384
148,14460,15764,,"Cambridge-Newton-Framingham, MA",Metropolitan Division,2441820,2437162,2424584,2423870,-4658,-12578,-714
148,14460,15764,25009,"Essex County, MA",County or equivalent,809818,808491,807485,806765,-1327,-1006,-720
148,14460,15764,25017,"Middlesex County, MA",County or equivalent,1632002,1628671,1617099,1617105,-3331,-11572,6
148,14460,40484,,"Rockingham County-Strafford County, NH",Metropolitan Division,445077,445658,449748,451699,581,4090,1951
148,14460,40484,33015,"Rockingham County, NH",County or equivalent,314182,314603,318214,319424,421,3611,1210
148,14460,40484,33017,"Strafford County, NH",County or equivalent,130895,131055,131534,132275,160,479,741
148,18180,,,"Concord, NH",Micropolitan Statistical Area,153800,154022,154591,156020,222,569,1429
148,18180,,33013,"Merrimack County, NH",County or equivalent,153800,154022,154591,156020,222,569,1429
148,29060,,,"Laconia, NH",Micropolitan Statistical Area,63709,63775,64612,64781,66,837,169
148,29060,,33001,"Belknap County, NH",County or equivalent,63709,63775,64612,64781,66,837,169
148,31700,,,"Manchester-Nashua, NH",Metropolitan Statistical Area,422941,422883,424496,426594,-58,1613,2098
148,31700,,33011,"Hillsborough County, NH",County or equivalent,422941,422883,424496,426594,-58,1613,2098
148,39300,,,"Providence-Warwick, RI-MA",Metropolitan Statistical Area,1676581,1673082,1676880,1673802,-3499,3798,-3078
148,39300,,25005,"Bristol County, MA",County or equivalent,579210,576737,579895,580068,-2473,3158,173
148,39300,,44001,"Bristol County, RI",County or equivalent,50786,50774,50800,50360,-12,26,-440
148,39300,,44003,"Kent County, RI",County or equivalent,170358,170386,170997,171275,28,611,278
148,39300,,44005,"Newport County, RI",County or equivalent,85652,85508,85662,84481,-144,154,-1181
148,39300,,44007,"Providence County, RI",County or equivalent,660739,659920,658646,657288,-819,-1274,-1358
148,39300,,44009,"Washington County, RI",County or equivalent,129836,129757,130880,130330,-79,1123,-550
148,49340,,,"Worcester, MA-CT",Metropolitan Statistical Area,978518,975998,978913,980137,-2520,2915,1224
148,49340,,9015,"Windham County, CT",County or equivalent,116419,116290,116781,117210,-129,491,429
148,49340,,25027,"Worcester County, MA",County or equivalent,862099,859708,862132,862927,-2391,2424,795
150,,,,"Bowling Green-Glasgow, KY",Combined Statistical Area,234405,234845,237430,240906,440,2585,3476
150,14540,,,"Bowling Green, KY",Metropolitan Statistical Area,179635,180057,182468,185682,422,2411,3214
150,14540,,21003,"Allen County, KY",County or equivalent,20580,20573,20828,21275,-7,255,447
150,14540,,21031,"Butler County, KY",County or equivalent,12371,12318,12279,12295,-53,-39,16
150,14540,,21061,"Edmonson County, KY",County or equivalent,12133,12153,12213,12269,20,60,56
150,14540,,21227,"Warren County, KY",County or equivalent,134551,135013,137148,139843,462,2135,2695
150,23980,,,"Glasgow, KY",Micropolitan Statistical Area,54770,54788,54962,55224,18,174,262
150,23980,,21009,"Barren County, KY",County or equivalent,44482,44502,44599,44854,20,97,255
150,23980,,21169,"Metcalfe County, KY",County or equivalent,10288,10286,10363,10370,-2,77,7
154,,,,"Brownsville-Harlingen-Raymondville, TX",Combined Statistical Area,441175,441595,443414,445351,420,1819,1937
154,15180,,,"Brownsville-Harlingen, TX",Metropolitan Statistical Area,421012,421445,423124,425208,433,1679,2084
154,15180,,48061,"Cameron County, TX",County or equivalent,421012,421445,423124,425208,433,1679,2084
154,39700,,,"Raymondville, TX",Micropolitan Statistical Area,20163,20150,20290,20143,-13,140,-147
154,39700,,48489,"Willacy County, TX",County or equivalent,20163,20150,20290,20143,-13,140,-147
160,,,,"Buffalo-Cheektowaga-Olean, NY",Combined Statistical Area,1243935,1241715,1242891,1237631,-2220,1176,-5260
160,15380,,,"Buffalo-Cheektowaga, NY",Metropolitan Statistical Area,1166894,1164723,1166241,1161192,-2171,1518,-5049
160,15380,,36029,"Erie County, NY",County or equivalent,954244,952598,954350,950312,-1646,1752,-4038
160,15380,,36063,"Niagara County, NY",County or equivalent,212650,212125,211891,210880,-525,-234,-1011
160,36460,,,"Olean, NY",Micropolitan Statistical Area,77041,76992,76650,76439,-49,-342,-211
160,36460,,36009,"Cattaraugus County, NY",County or equivalent,77041,76992,76650,76439,-49,-342,-211
161,,,,"Burlington-Fort Madison-Keokuk, IA-IL-MO",Combined Statistical Area,103101,102878,102145,101251,-223,-733,-894
161,15460,,,"Burlington, IA-IL",Micropolitan Statistical Area,45292,45150,44811,44444,-142,-339,-367
161,15460,,17071,"Henderson County, IL",County or equivalent,6385,6334,6304,6151,-51,-30,-153
161,15460,,19057,"Des Moines County, IA",County or equivalent,38907,38816,38507,38293,-91,-309,-214
161,22800,,,"Fort Madison-Keokuk, IA-IL-MO",Micropolitan Statistical Area,57809,57728,57334,56807,-81,-394,-527
161,22800,,17067,"Hancock County, IL",County or equivalent,17621,17547,17388,17244,-74,-159,-144
161,22800,,19111,"Lee County, IA",County or equivalent,33548,33520,33208,32840,-28,-312,-368
161,22800,,29045,"Clark County, MO",County or equivalent,6640,6661,6738,6723,21,77,-15
162,,,,"Burlington-South Burlington-Barre, VT",Combined Statistical Area,285368,285458,287145,287569,90,1687,424
162,12740,,,"Barre, VT",Micropolitan Statistical Area,59804,59756,60023,60048,-48,267,25
162,12740,,50023,"Washington County, VT",County or equivalent,59804,59756,60023,60048,-48,267,25
162,15540,,,"Burlington-South Burlington, VT",Metropolitan Statistical Area,225564,225702,227122,227521,138,1420,399
162,15540,,50007,"Chittenden County, VT",County or equivalent,168324,168386,169271,169301,62,885,30
162,15540,,50011,"Franklin County, VT",County or equivalent,49949,50040,50433,50731,91,393,298
162,15540,,50013,"Grand Isle County, VT",County or equivalent,7291,7276,7418,7489,-15,142,71
163,,,,"Cape Coral-Fort Myers-Naples, FL",Combined Statistical Area,1176206,1182522,1218129,1261786,6316,35607,43657
163,15980,,,"Cape Coral-Fort Myers, FL",Metropolitan Statistical Area,760820,765504,790676,822453,4684,25172,31777
163,15980,,12071,"Lee County, FL",County or equivalent,760820,765504,790676,822453,4684,25172,31777
163,17500,,,"Clewiston, FL",Micropolitan Statistical Area,39626,39725,40212,41339,99,487,1127
163,17500,,12051,"Hendry County, FL",County or equivalent,39626,39725,40212,41339,99,487,1127
163,34940,,,"Naples-Marco Island, FL",Metropolitan Statistical Area,375760,377293,387241,397994,1533,9948,10753
163,34940,,12021,"Collier County, FL",County or equivalent,375760,377293,387241,397994,1533,9948,10753
164,,,,"Cape Girardeau-Sikeston, MO-IL",Combined Statistical Area,135579,135563,135613,136115,-16,50,502
164,16020,,,"Cape Girardeau, MO-IL",Metropolitan Statistical Area,97521,97543,97757,98275,22,214,518
164,16020,,17003,"Alexander County, IL",County or equivalent,5242,5173,5032,4858,-69,-141,-174
164,16020,,29017,"Bollinger County, MO",County or equivalent,10572,10559,10578,10518,-13,19,-60
164,16020,,29031,"Cape Girardeau County, MO",County or equivalent,81707,81811,82147,82899,104,336,752
164,43460,,,"Sikeston, MO",Micropolitan Statistical Area,38058,38020,37856,37840,-38,-164,-16
164,43460,,29201,"Scott County, MO",County or equivalent,38058,38020,37856,37840,-38,-164,-16
168,,,,"Cedar Rapids-Iowa City, IA",Combined Statistical Area,451948,452180,453526,454583,232,1346,1057
168,16300,,,"Cedar Rapids, IA",Metropolitan Statistical Area,276520,276598,276016,275592,78,-582,-424
168,16300,,19011,"Benton County, IA",County or equivalent,25571,25534,25719,25711,-37,185,-8
168,16300,,19105,"Jones County, IA",County or equivalent,20646,20653,20839,20848,7,186,9
168,16300,,19113,"Linn County, IA",County or equivalent,230303,230411,229458,229033,108,-953,-425
168,26980,,,"Iowa City, IA",Metropolitan Statistical Area,175428,175582,177510,178991,154,1928,1481
168,26980,,19103,"Johnson County, IA",County or equivalent,152861,153042,155016,156420,181,1974,1404
168,26980,,19183,"Washington County, IA",County or equivalent,22567,22540,22494,22571,-27,-46,77
170,,,,"Charleston-Huntington-Ashland, WV-OH-KY",Combined Statistical Area,779960,778396,771309,763796,-1564,-7087,-7513
